Name,Mobile,website,address
Tinfo Property,01871019999,https://tinfoproperty.com/,"Plot: 19 and 20, Road: 113/A, Dhaka 1212"
Sanmar Properties Limited,09612666888,https://mysanmar.com/,"18th Floor, 38/A, 1212 Rd 35, Dhaka 1212"
Tropical Homes Ltd.,01329713686,http://www.tropicalhomesltd.com/,"13/A, 6th Floor, Planner's Tower, Sonargaon Road, Dhaka 1000"
Rawshon Properties | Best Real Estate Company In Khulna Bangladesh,01303771382,,"2nd Floor, Khokon Shopping Complex, Outer Bypass Rd, Khulna 9092"
Swadesh Properties Limited - Head Office,01926688788,https://www.swadeshproperties.com/en,"Plot No-10, 3rd Floor, Taher Tower, Gulshan Circle-2, Dhaka 1212"
Property Show BD,01557743200,https://propertyshowbd.com/,"06, House 208, Road, Dhaka 1229"
"RENTS.com.bd | House Rent In Dhaka | Best Furnished Apartment,Small Studio Apartment, Flat, BHK Rent In Dhaka | To let dhaka",01616191191,http://rents.com.bd/,"Plot: 19 & 20, Rd No 113/A, Dhaka 1212"
Styllent Realtors Ltd. | Trusted Real Estate Developer in Bangladesh,01858008885,https://www.facebook.com/styllentrealtors,"Road 1, House 121, Suite 3A, Dhaka 1213"
THE PROPERTY PARK LIMITED,0258810690,https://thepropertypark.com/,"Navana Tower, 45 Gulshan Ave, Dhaka 1212"
Apex Property Ltd.,09613646465,http://www.apexproperty.com.bd/,"Catharsis Tower, House-133 Rd 12, Dhaka 1213"
Credence Housing Limited Corporate Office,09666716769,http://www.credencehousingltd.com/,"13/A House 15, Dhanmondi R/A, Dhaka 1205"
Alliance Properties Ltd.,01972098132,http://www.allianceproperties.com.bd/,"Building (11th Floor, The Alliance, 63/Ka Pragati Sarani, Dhaka 1212"
DOM-INNO,09612119999,http://www.dominno-bd.com/,"House 13 Road No.7, Dhaka 1213"
AWR REAL ESTATE LIMITED,01906079585,,"Rupayan Golden Age, Gulshan Ave, Dhaka 1212"
Sharif Properties Service,01636333333,https://sharif.com.bd/,"Block-L, House-3 Rd No. 2/2, Dhaka 1213"
Realtors BD,01309000428,http://realtorsbd.com/,"BTI Premier Plaza, Pragati Sarani, Dhaka 1212"
Ratul Properties Ltd.,01322840011,http://www.ratulproperties.com.bd/,"Rupayan Centre, 72 Mohakhali C/A, Dhaka 1212"
Nawar Properties Ltd.,01966611853,http://www.nplbd.net/,"House-206 Road-02, Dhaka 1206"
BDhousing.com,01730583483,https://www.bdhousing.com/,"BDhousing.com, H- 21 Road No. 17, Dhaka 1213"
JCX Developments Ltd.,01671999996,https://jcxbd.com/,"JCX Business Tower, Plot - 1136/A, Japan Street, Dhaka 1229"
Urban Design & Development Ltd.,09666774477,http://www.uddl.com.bd/,"House No. 34/A, Rd No. 10/A, Dhanmondi, Dhaka, 1209"
ABM Real Estate Ltd.,01708868386,,"House # B, 113 Mosque Rd, Dhaka 1206"
JBS HOLDINGS LIMITED,01755660680,http://www.jbsholdingsbd.com/,"Plot no, Rupayan Shopping Square, 02 Sayem Sobhan Anvir Rd, Dhaka 1229"
East West Property Development (Pvt.) Ltd,01762027522,,"1 Panthapath, Dhaka 1215"
Mridul Real Estate Ltd.,01894442999,https://www.mridulrealestate.com/,"House # 198(4th floor, 1206 Road # 01, Dhaka 1206"
Landing address ltd.| A Trusted Real Estate Company in Bangladesh,01711871340,http://www.landingaddress.com/,"Plot-688, Road-9 Main Road, Dhaka 1216"
LANCO DEVELOPMENTS LTD,09611677496,http://www.lancodevelopments.com/,"graveyard, House 47 Rd No 27, Dhaka 1213"
Assurance Developments Ltd.,09606222444,http://www.assurance.com.bd/,"1213, Assurance Tower, 65/B Kemal Ataturk Avenue, Dhaka 1213"
Prestige Real Estate Ltd,01819775533,http://prestigerealestateltd.com/,"House : 516/3 , Tower, 71 ECB Chattor, Dhaka 1216"
Bhaiya Housing ltd,01922030303,http://www.bhaiyahousing.com/,"গাজী দস্তগীর সড়ক, Dhaka"
Akter Properties Ltd. (Head office),02222281123,https://www.akterproperties.com/,"House # 114 Rd 12, Dhaka 1213"
IQI Bangladesh (আই কিউ আই বাংলাদেশ),01886444111,https://iqibd.com/,"Shanta Western Tower, Level-10, Office Space-1004, Dhaka 1208"
Silverkey Real Estate Ltd.,01894782808,http://silverkey-realestatebd.com/,"House: 57, Road: 1/A, Block: J, Dhaka 1212"
Mak Inno Development Ltd.,01780004400,,"Plot-2, Orchid Plaza, Road-28(old), 15(New), Dhanmondi, Dhaka 1209"
The Umbrella Management Ltd,0241081592,,"House- 1 (Level 5), Road- 17, Block- D Banani Model Town, Dhaka Division, 1213"
The Structural Engineers Limited,0241020909,http://www.sel.com.bd/,"SEL Centre, 29, West Panthapath, Bir Uttam Kazi Nuruzzaman Rd, Dhaka 1205"
ASSK AMARI WAY DEVELOPERS LTD,01844646688,http://www.asskamariway.com/,"House: 11/B Road 130, Gulshan 1 Dhaka city, 1212"
Doyel Development Properties Ltd,01711222275,https://ddpl.com.bd/,"Level - 11, JCX Business Tower, Japan Street, Dhaka 1229"
Real Estate and Housing Association of Bangladesh (REHAB).,01755555321,http://www.rehab-bd.org/,"National Plaza, 1/G Free School Street Sonargaon Road, Dhaka 1205"
Maxwell Western City | Leading Real Estate Company In Dhaka | Land In Mohammadpur,01767260518,http://www.maxwellbd.com/,"Maxwell Western City (Deuli Mouja, Nimtoli Rd, Keraniganj"
Property Valuation And Survey (BD) Limited,01721486527,http://www.bdassetsurvey.com/,"Block-D/2, House no: 88, 38 Kallyanpur Rd No 3, Dhaka 1216"
Vivek Real Estate Ltd.,0258612771,https://vivekgroup.net/,"Level-16, Nasir Trade Center, 89 Bir Uttam CR Dutta Rd, Dhaka 1205"
Developer; Dhaka; Bangladesh,01724080064,,"House 695/2-D, Purba Hasna Villa (4th Floor Manikdi (near ECB Chattar, Dhaka 1206"
Leading Real Estate Company,01678666444,,"Level 10, Shanta Western Tower, 186 Bir Uttam Mir Shawkat Sarak, Dhaka 1208"
Basic Real Estate Limited,0255000482,https://www.basicrealestateltd.com/,"House No 79, Road No 12/a, Floor C-2, Dhaka 1209"
Property Sale bd,01894974042,http://www.propertysalebd.com/,"152, 2/N Panthapath, Dhaka 1205"
Hassan and Associates Limited,029357447,http://www.hal-bd.com/,"Boro Moghbazar, HAL MARS 5 Shaheed Shangbadik Salina Parveen Sarak, Dhaka 1217"
Manama Developments Ltd.,01920626262,,"House no: 88, 108 Rd 12, Dhaka 1212"
Rancon Developments Limited,09677778899,http://rancondevelopments.com/,"House 24, Rd 10, Dhaka 1212"
landspect ltd.,01712372350,https://www.landspect.org/,"15(New, House # 9A, Road No. 15, Dhaka 1209"
Ridge Park Holdings Ltd.,01713022297,http://www.ridge-park.net/,"QCG8+QP6, Rd 140, Dhaka 1212"
Bestliving Properties Ltd,01755511174,http://bestliving.com.bd/,"KA-08, 2ND Floor, ADEPT K.R COMPLEX, Bashundhara Link Rd, Dhaka 1229"
iNTECH PROPERTIES LTD,01734421757,http://www.intechproperties.com.bd/,"Intech Amin Garden 134/15, Furfura Sharif Road, Darus Salam Rd, Dhaka 1207"
South Breeze Housing Limited,0255042211,http://www.southbreezebd.com/,"South Breeze Center Road 11 Building 5, 12th floor Block G, Dhaka 1213"
Amada Real Estate Limited,028081262,,"House- 508 Rd Number 7, Dhaka 1216"
Central Real Estate,01985910969,,"L-27, Road : 11, South Banasree, 1212"
Rupayan Group,01518679759,https://www.rupayangroup.com/,"72, Rupayan Center, Dhaka 1212"
Assetic Ltd.,01880087202,https://www.asseticltd.com/,"3rd Floor, House 23, Road-1, Dhaka 1230"
Reliance Holdings Ltd.,01730046539,http://www.relianceholdingsltd.com/,"House No: 134, 2nd Floor, Lane No: 1, Dhaka 1206"
Swargasaya Real Estate Ltd( Site Office-2),01324243133,,"Panjura Highway, Dhaka"
Hyperion Design & Development Ltd,01817158095,,"Hyperion Tower, House - 02 Rd Number 4, Dhaka 1216"
Nandan Kanon Housing Ltd,028833869,http://nandankanon.com/,"House 148 Rd No 13B, Dhaka 1213"
Property Rent Sale BD,01718950024,https://propertyrentsalebd.blogspot.com/,Dhaka 1213
Shelter Housing Limited,01755605080,http://www.shelterhousinglimited.com/,"Level 7, Grameen Banglar Akshay Tower, 51 Madani Ave, Dhaka 1212"
Estate Developer Bangladesh Ltd.,01711528371,,"93, EDB Trade CentreKazi Nazrul Islam Avenue, Kawran Bazar, Dhaka 1215"
Angan Properties Ltd.,09666993366,https://angan.com.bd/,"Plot # 3 , Block -NW(J Gulshan North Avenue, Kemal Ataturk Ave, Dhaka 1212"
Mars Park Ltd,0248110571,,"House: 61 (Ground Floor) Road: 9/A, Dhanmondi R/A, Dhaka 1209"
Ray White Ltd.,01330005244,https://raywhiteltd.com/,"Level 5, Suit 605 & 606, Rupayan Shopping Square, Plot 02 Sayem Sobhan Anvir Rd, Dhaka 1229"
Natural Real Estate Ltd.,01978886601,,"Ellal Chamber (8th Floor), 11, Motijheel C/A, Dhaka- 1000 Dhaka, 1000"
NSB Real Estate (Pvt) Ltd,01713069142,,"874, East Shewrapara, Kafrul, Mirpur, Dhaka 1216"
Sheltech (Pvt.) Ltd.,09612444333,http://www.sheltech-bd.com/,"Sheltech Tower, 60 Sheikh Russel Square, West Panthapath, Dhaka 1205"
Hamid Real Estate Construction Ltd.,01730044815,http://www.hamidgroup.com/priyoprangon/home/profile,"56/1, 10th Floor, Baitul View Tower, Purana Paltan, Dhaka 1000"
JAPASTY COMPANY LTD.,0255050367,,"Rupayan shopping square, Sayem Sobhan Anvir Rd, Dhaka 1229"
Unimark Group,01324722733,http://www.unimarkbd.com/,"Block # A, Apt # E1 House, 133 Road # 04, Dhaka 1213"
Property Consulting Dhaka Bangladesh,01908885635,,"House 56 Garib Newaz Ave, Dhaka 1230"
