Name,Mobile,website,address
Green Technology,01315090371,https://greentechnologybd.com/,"3rd floor , shop 406, Mukto Bangla Shopping Complex, number bus stand, Dhaka 1216"
RS Computers System,09613654033,https://storesbd.hp.com/rs-computers-system-bcs-computer-city-8321/overview,"IDB Bhaban, SR-147 (1st Floor), BCS Computer City, Begum Rokeya Sarani, Dhaka 1216"
Brothers Gadget | Laptop Shop,01955996905,,"Multiplan Center, New Elephant Rd, Dhaka 1205"
Panaroma Computer,01674176397,http://www.panaromabd.com/,"ECS Computer City, Multiplan Centre Level # 2, Shop # SR-236,237, 69-71 New Elephant Road, Dhaka-1205 Mirpur, 1205"
BCS Computer City,01742413123,https://www.bcscomputercity.com/,"BCS Computer CIty, IDB Bhaban, 8-A Rokeya Sharani, Dhaka 1207"
MC Solution BD ( IDB Bhaban Branch ),01407056590,https://mcsolution.com.bd/,"Shop No:223/3, 2nd Floor, BCS Computer City, IDB Bhaban, Dhaka 1205"
Lappy Valley,01712644209,http://www.lappyvalley.com/,"Shop No # 607, Rajuk Commercial Complex, Azampur, Uttara 1230, Dhaka Bangladesh Dhaka, 1230"
SS Computer | Mirpur-10,01643946107,,"House 07, Road 03,Harun super market (2nd floor, Mirpur 10 Roundabout, Dhaka 1216"
"Laptop Accessories BD,IDB",01718236239,https://www.facebook.com/laptopaccessoriesbdidb?mibextid=ZbWKwL,"IDB Bhaban, Dhaka 1207"
Computer Source - IDB Branch,01725159458,http://www.computersource.com.bd/,"Shop 233 (2nd Floor), BCS Computer City, Agargaon, Dhaka-1207, Dhaka 1207"
Onestop Service & Solution,01316986790,http://onestop.net.bd/,"SGR-33, BCS Computer City IDB Bhaban, Agargaon, Dhaka 1207"
"Aroz Technology BD, Multiplan Center Branch",01970138150,http://www.aroz.com.bd/,"Shop No:574, Level:05, Multiplan Center, 71 New Elephant Rd, Dhaka 1205"
NEXGEN TECHNOLOGY,01772727287,http://www.facebook.com/nexgentechnology.bd,"সার্কেল, Arjatpara (Near Paglarpul Madrasah)- Mohakhali Rd, Dhaka Dhaka, 1215"
EERNA Jamuna Future Park Branch - HP Partner,01709642447,https://eerna.com.bd/,"Shop No 24A, 24 B, Level 4, Block A, Jamuna Future Park, Progoti Sarani - Debogram Rd, Dhaka 1229"
PC Service Point,01558984512,,"50, Maa Villa, 1 Shahid Abdul Azij Road, Dhaka 1229"
Tech Moon BD,01975996903,https://techmoonbd.com/,"Shop-333, Level-03, Multiplan Center, Multiplan Center, 69-71, 1205 New Elephant Rd, Dhaka 1205"
Tech Land BD - Banani Branch,01701663681,https://www.techlandbd.com/,"Concord Colosseum, 156 Kemal Ataturk Ave, Dhaka 1213"
Smart Buy Laptops,01785626326,https://smartbuylaptops.com/,"3a Kamal Soroni Rd, Dhaka"
Laptop House BD,01773062835,http://www.laptophousebd.com/,"Plot #12, Road#01, Section #06, Block #KHA, Mirpur 10 Roundabout, Dhaka 1216"
Computer Zone,01760008617,http://computerzone.com.bd/,"Multiplan Center, Suit-936, Level-9, 69/71, ECS Computer City, New Elephant Rd, Dhaka 1205"
Byte City BD,01977409140,https://bytecity.com.bd/,"Shop No: 4D-20C1, Jamuna Future Park, Level #4 Zone #D, East Court, Dhaka 1229"
